art_name,sone_name
Justin Bieber,Santa Claus Is Coming To Town
Justin Bieber,Fa La La
Justin Bieber,Drummer Boy
Justin Bieber,Christmas Eve
Justin Bieber,All I Want Is You
Justin Bieber,Home This Christmas
Justin Bieber,Silent Night
Justin Bieber,Christmas Love
Justin Bieber,Someday At Christmas
Justin Bieber,Holy
Justin Bieber,What’s Hatnin’
Justin Bieber,I Don’t Care
Justin Bieber,No Brainer
Justin Bieber,Wandered To LA
Justin Bieber,Lean on Me - ArtistsCAN
Justin Bieber,Love Yourself
Justin Bieber,Anyone
Justin Bieber,The Christmas Song
Justin Bieber,Drummer Boy
Justin Bieber,Fa La La
Justin Bieber,Only Thing I Ever Get For Christmas
Justin Bieber,Someday At Christmas
Justin Bieber,Fa La La - a cappella
Justin Bieber,Christmas Love
Justin Bieber,Mistletoe
Justin Bieber,Santa Claus Is Coming To Town
Justin Bieber,Drummer Boy
Justin Bieber,Home This Christmas
Justin Bieber,Silent Night
Justin Bieber,Backpack
Justin Bieber,What Do You Mean?
