art_name,sone_name
Michael Jackson,One More Chance
Michael Jackson,One Day In Your Life
Michael Jackson,People Make The World Go ’Round
Michael Jackson,With A Child’s Heart
Michael Jackson,In Our Small Way
Michael Jackson,Dapper Dan
Michael Jackson,Got To Be There
Michael Jackson,I’ll Be There
Michael Jackson,Oh How Happy
Michael Jackson,Bridge Over Troubled Water
Michael Jackson,Can I See You In The Morning
Michael Jackson,Goin’ Back To Indiana
Michael Jackson,How Funky Is Your Chicken
Michael Jackson,Mama’s Pearl
Michael Jackson,Reach In
Michael Jackson,The Love I Saw In You Was Just A Mirage
Michael Jackson,Darling Dear
Michael Jackson,Maybe Tomorrow
Michael Jackson,She’s Good
Michael Jackson,Never Can Say Goodbye
Michael Jackson,The Wall
Michael Jackson,Petals
Michael Jackson,Sixteen Candles
Michael Jackson,My Little Baby
Michael Jackson,It’s Great To Be Here
Michael Jackson,Lookin’ Through The Windows
Michael Jackson,Doctor My Eyes
Michael Jackson,Don’t Let It Get You Down
Michael Jackson,You’ve Really Got A Hold On Me
Michael Jackson,Melodie
Michael Jackson,Touch The One You Love
Michael Jackson,Girl You’re So Together
Michael Jackson,Monologue
Michael Jackson,We Don’t Have To Be Over 21
Michael Jackson,You’ve Changed
Michael Jackson,Big Boy
Michael Jackson,Michael The Lover
Michael Jackson,Jam Session
Michael Jackson,My Girl
Michael Jackson,Soul Jerk
Michael Jackson,Under The Boardwalk
Michael Jackson,Saturday Nite At The Movies
Michael Jackson,Tracks Of My Tears
Michael Jackson,Lonely Heart
Michael Jackson,Stormy Monday
Michael Jackson,One More Chance
Michael Jackson,One More Chance
Michael Jackson,One More Chance
Michael Jackson,The Girl Is Mine 2008 with will.i.am
Michael Jackson,WCU Fight Song
Michael Jackson,Football Fanfare
Michael Jackson,American Finale
Michael Jackson,Star Spangled Banner
Michael Jackson,Chameleon
Michael Jackson,Johnny B. Goode
Michael Jackson,Respect
Michael Jackson,Midnight Special
Michael Jackson,Hold on i’m Coming
Michael Jackson,In a Young Man’s Mind
Michael Jackson,Salvation Is Created
Michael Jackson,Play that Funky Music
Michael Jackson,Open up Wide; Get it on
Michael Jackson,Turn the Beat Around; Higher
Michael Jackson,Party Time
Michael Jackson,Dr. Beat; Conga; Rhythm Is Gonna Get You; Higher
Michael Jackson,Thriller; Workin’ Day & Night; Rapper’s Delight; Sir Duke; We Want the Funk
Michael Jackson,Superstition; I Wish
Michael Jackson,Proud Mary; Get it on; Dance to the Music
Michael Jackson,The Heat’s on; Firebird Suite; Boogie Nights; Fever; Heatwave
Michael Jackson,Blood on the Dance Floor
Michael Jackson,Superfly Sister
Michael Jackson,Ghosts
Michael Jackson,Is It Scary
Michael Jackson,Ain’t No Sunshine
Michael Jackson,I Wanna Be Where You Are
Michael Jackson,Got To Be There
Michael Jackson,Rockin’ Robin
Michael Jackson,Wings Of My Love
Michael Jackson,Ben
Michael Jackson,My Girl
Michael Jackson,X-Posed:The Interview
Michael Jackson,Ben
Michael Jackson,Monkey Business
Michael Jackson,We’ve Had Enough
Michael Jackson,Johnny Raven
Michael Jackson,Happy
Michael Jackson,Too Young
Michael Jackson,Up Again
Michael Jackson,Doggin’ Around
Michael Jackson,With a Child’s Heart
Michael Jackson,Euphoria
Michael Jackson,Morning Glow
Michael Jackson,Music and Me
Michael Jackson,All the Things You Are
Michael Jackson,Doggin’ Around
Michael Jackson,Music And Me
Michael Jackson,Billie Jean
Michael Jackson,Bad
Michael Jackson,Thriller
Michael Jackson,Ghost
Michael Jackson,Will You Be There
Michael Jackson,Heal The World
Michael Jackson,Smooth Criminal
Michael Jackson,Black Or White
Michael Jackson,They Don’t Care About Us
Michael Jackson,Beat It
Michael Jackson,Dirty Diana
